epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0424,3.7736,4.27281,3.62012,0,0,0,0,3.40736,5.43472,2.95961,0.0802,0.0002,0.0002
2,91.193,3.30762,2.95402,2.97444,0,0,0,0,3.3204,4.97481,2.91721,0.0594099,0.0004099,0.0004099
3,130.506,3.04525,2.56454,2.92734,0,0,0,0,3.26828,4.93456,2.94489,0.0386194,0.000619394,0.000619394
4,169.933,2.91841,2.31973,2.82533,0,0,0,0,3.21295,4.85144,2.88193,0.0178282,0.000828177,0.000828177
5,210.658,2.63522,2.10792,2.66793,0.07368,0.81635,0.3793,0.07089,3.08469,3.10428,2.61303,0.000996097,0.000996097,0.000996097
6,252.129,2.43292,1.96026,2.48267,0.07966,0.92949,0.33987,0.09753,2.6686,2.45181,2.55422,0.000993906,0.000993906,0.000993906
7,293.673,2.34571,1.86867,2.43208,0.27698,0.54647,0.33571,0.09728,2.73252,1.86116,2.6119,0.000991232,0.000991232,0.000991232
8,335.186,2.16964,1.74919,2.28694,0.28736,0.36646,0.35236,0.13028,2.59825,2.03958,2.55044,0.000988079,0.000988079,0.000988079
9,381.65,2.03448,1.61656,2.22222,0.29054,0.34231,0.347,0.11367,2.67862,2.21619,2.6783,0.000984449,0.000984449,0.000984449
10,428.93,1.97359,1.59055,2.23589,0.89241,0.40545,0.51372,0.22202,1.84892,2.92034,2.60673,0.000980345,0.000980345,0.000980345
11,476.368,1.84229,1.48614,2.14041,0.911,0.34041,0.53225,0.18138,2.26028,1.78692,2.57689,0.000975773,0.000975773,0.000975773
12,520.06,1.77631,1.44821,2.06185,0.54315,0.69583,0.56338,0.26274,1.91517,1.4647,2.33922,0.000970736,0.000970736,0.000970736
13,572.11,1.69583,1.28842,1.95752,0.16824,0.94071,0.38911,0.15046,2.53103,2.8621,2.42424,0.000965239,0.000965239,0.000965239
14,613.348,1.6309,1.24374,1.90615,0.40882,0.86314,0.6026,0.20021,2.23744,1.90786,2.53806,0.000959289,0.000959289,0.000959289
15,654.336,1.55732,1.15677,1.87241,0.67206,0.7641,0.67969,0.28695,2.11252,1.79637,2.30654,0.000952889,0.000952889,0.000952889
16,695.902,1.53759,1.1165,1.78925,0.67263,0.58589,0.71052,0.37818,1.8543,1.44946,2.17777,0.000946048,0.000946048,0.000946048
